"Rank","Player","Team","Position","Points","Games","Avg"
"40","Golden Tate","NYG","WR","224.5","16","14.0"
"41","Tyrod Taylor","LAC","QB","222.6","15","14.8"
"42","Davante Adams","GB","WR","222.5","14","15.9"
"43","Brandin Cooks","HOU","WR","221.2","16","13.8"
"44","Duke Johnson","HOU","RB","216.1","16","13.5"
"45","Andy Dalton","DAL","QB","210.7","16","13.2"
"46","Marcus Mariota","LV","QB","210.4","15","14.0"
"47","Derek Carr","LV","QB","206.3","15","13.8"
"48","Jacoby Brissett","IND","QB","206.0","16","12.9"
"49","Demaryius Thomas","FA","WR","205.9","16","12.9"
"50","Josh McCown","FA","QB","205.6","13","15.8"
"51","Ezekiel Elliott","DAL","RB","203.2","10","20.3"
"52","Mike Evans","TB","WR","203.1","15","13.5"
"53","Jacksonville Jaguars","JAC","DST","203.0","16","12.7"
"54","Zach Ertz","PHI","TE","202.4","14","14.5"
"55","Jameis Winston","NO","QB","201.8","13","15.5"
"56","Devonta Freeman","FA","RB","200.2","14","14.3"
"57","Robby Anderson","CAR","WR","200.0","16","12.5"
"58","Jordan Howard","MIA","RB","199.5","16","12.5"
"59","Stefon Diggs","BUF","WR","198.2","14","14.2"
"60","Dion Lewis","NYG","RB","197.0","16","12.3"
"61","Alshon Jeffery","PHI","WR","195.9","16","12.2"
"62","Devin Funchess","GB","WR","195.0","16","12.2"
"63","Lamar Miller","NE","RB","193.5","16","12.1"
"64","Nelson Agholor","LV","WR","193.5","16","12.1"
"65","JuJu Smith-Schuster","PIT","WR","191.7","14","13.7"
"66","Eli Manning","FA","QB","187.3","15","12.5"
"67","Dez Bryant","FA","WR","186.5","16","11.7"
"68","Baltimore Ravens","BAL","DST","186.0","16","11.6"
"69","Joe Flacco","NYJ","QB","184.9","16","11.6"
"70","Greg Zuerlein","DAL","K","182.0","14","13.0"
"71","Jerick McKinnon","SF","RB","178.1","16","11.1"
"72","Cooper Kupp","LAR","WR","176.9","15","11.8"
"73","Jermaine Kearse","FA","WR","176.0","16","11.0"
"74","DeShone Kizer","FA","QB","175.9","15","11.7"
"75","T.Y. Hilton","IND","WR","175.6","16","11.0"
"76","C.J. Anderson","FA","RB","175.1","16","10.9"
"77","Kenny Stills","HOU","WR","174.7","16","10.9"
"78","Delanie Walker","FA","TE","174.5","16","10.9"
"79","Mohamed Sanu","NE","WR","174.3","15","11.6"
"80","Frank Gore","NYJ","RB","173.6","16","10.9"
"80","Evan Engram","NYG","TE","173.6","15","11.6"
"82","Stephen Gostkowski","FA","K","172.0","16","10.8"
"83","Michael Crabtree","FA","WR","171.8","13","13.2"
"84","DeMarco Murray","FA","RB","171.5","15","11.4"
"85","Jimmy Graham","CHI","TE","171.0","16","10.7"
"86","Alex Collins","FA","RB","171.0","15","11.4"
"87","Los Angeles Rams","LAR","DST","170.0","16","10.6"
"87","Philadelphia Eagles","PHI","DST","170.0","16","10.6"
"87","Robbie Gould","SF","K","170.0","16","10.6"
"90","Jack Doyle","IND","TE","169.0","15","11.3"
"91","Deshaun Watson","HOU","QB","168.8","7","24.1"
"92","Marquise Goodwin","PHI","WR","168.6","16","10.5"
"93","Tevin Coleman","SF","RB","167.9","15","11.2"
"94","Javorius Allen","FA","RB","166.1","16","10.4"
"95","Marshawn Lynch","FA","RB","164.3","15","11.0"
"96","Robert Woods","LAR","WR","163.3","12","13.6"
"97","Matt Bryant","FA","K","162.0","16","10.1"
"97","Justin Tucker","BAL","K","162.0","16","10.1"
"99","Wil Lutz","NO","K","161.0","16","10.1"
"100","Jamison Crowder","NYJ","WR","160.3","15","10.7"
"101","Los Angeles Chargers","LAC","DST","160.0","16","10.0"
"101","Harrison Butker","KC","K","160.0","13","12.3"
"103","Ted Ginn","CHI","WR","159.6","15","10.6"
"104","Randall Cobb","HOU","WR","159.4","14","11.4"
"105","Chris Boswell","PIT","K","159.0","16","9.9"
"106","Amari Cooper","DAL","WR","158.4","14","11.3"
"107","Kyle Rudolph","MIN","TE","158.2","16","9.9"
"108","Jay Cutler","FA","QB","157.7","14","11.3"
"109","Latavius Murray","NO","RB","157.4","16","9.8"
"110","Detroit Lions","DET","DST","157.0","16","9.8"
"111","Rishard Matthews","FA","WR","156.2","14","11.2"
"112","Ryan Succop","FA","K","156.0","16","9.8"
"113","Theo Riddick","LV","RB","154.0","16","9.6"
"114","Giovani Bernard","CIN","RB","151.7","16","9.5"
"115","Chris Thompson","JAC","RB","151.4","10","15.1"
"116","Mike Wallace","FA","WR","151.2","15","10.1"
"117","New Orleans Saints","NO","DST","151.0","16","9.4"
"117","Matt Prater","DET","K","151.0","16","9.4"
"119","Paul Richardson Jr.","FA","WR","150.3","16","9.4"
"120","Kai Forbath","FA","K","148.0","16","9.3"
"121","Marqise Lee","NE","WR","147.9","13","11.4"
"122","Jason Witten","LV","TE","147.0","16","9.2"
"123","Sammy Watkins","KC","WR","146.3","15","9.8"
"124","Bilal Powell","FA","RB","145.2","15","9.7"
"125","Tarik Cohen","CHI","RB","144.6","16","9.0"
"126","Sterling Shepard","NYG","WR","144.5","11","13.1"
"127","Isaiah Crowell","FA","RB","143.5","16","9.0"
"128","Cameron Brate","TB","TE","143.1","16","8.9"
"129","Jamaal Williams","GB","RB","142.8","15","9.5"
"130","Kenyan Drake","ARI","RB","142.3","16","8.9"
"131","Seattle Seahawks","SEA","DST","142.0","16","8.9"
"132","Joe Mixon","CIN","RB","141.3","14","10.1"
"133","Jake Elliott","PHI","K","139.0","14","9.9"
"134","Danny Amendola","DET","WR","138.9","15","9.3"
"135","DeSean Jackson","PHI","WR","138.6","14","9.9"
"136","Chicago Bears","CHI","DST","138.0","16","8.6"
"136","Pittsburgh Steelers","PIT","DST","138.0","16","8.6"
"138","Tyrell Williams","LV","WR","137.8","16","8.6"
"139","Orleans Darkwa","FA","RB","137.7","15","9.2"
"140","Jordy Nelson","FA","WR","137.2","14","9.8"
"140","Benjamin Watson","FA","TE","137.2","16","8.6"
"142","Stephen Hauschka","BUF","K","137.0","16","8.6"
"142","Phil Dawson","FA","K","137.0","16","8.6"
"142","Carolina Panthers","CAR","DST","137.0","16","8.6"
"145","Kelvin Benjamin","FA","WR","135.2","14","9.7"
"146","Jay Ajayi","FA","RB","135.1","14","9.7"
"147","Derrick Henry","TEN","RB","135.0","16","8.4"
"148","Mitch Trubisky","CHI","QB","134.6","12","11.2"
"149","James White","NE","RB","134.0","14","9.6"
"150","Keelan Cole","JAC","WR","132.8","16","8.3"
"151","Jared Cook","NO","TE","132.7","16","8.3"
"152","Martavis Bryant","FA","WR","132.5","15","8.8"
"153","Eric Ebron","PIT","TE","132.4","16","8.3"
"154","Graham Gano","NYG","K","131.0","16","8.2"
"155","DeVante Parker","MIA","WR","130.0","13","10.0"
"156","Rex Burkhead","NE","RB","129.8","10","13.0"
"157","Aaron Rodgers","GB","QB","129.5","7","18.5"
"158","Adam Humphries","TEN","WR","128.7","16","8.0"
"159","Hunter Henry","LAC","TE","126.9","12","10.6"
"160","Kendall Wright","FA","WR","126.4","14","9.0"
"161","Ryan Grant","FA","WR","126.3","16","7.9"
"162","Trevor Siemian","TEN","QB","126.2","11","11.5"
"163","Adam Vinatieri","FA","K","125.0","15","8.3"
"164","Brandon LaFell","FA","WR","124.8","16","7.8"
"165","Brett Hundley","ARI","QB","124.6","11","11.3"
"166","Tyler Kroft","BUF","TE","124.4","15","8.3"
"167","Ameer Abdullah","MIN","RB","124.4","14","8.9"
"168","Travis Benjamin","SF","WR","124.3","16","7.8"
"169","Kansas City Chiefs","KC","DST","124.0","16","7.8"
"170","New England Patriots","NE","DST","123.0","16","7.7"
"171","Vernon Davis","FA","TE","121.8","16","7.6"
"172","Matt Forte","FA","RB","121.4","12","10.1"
"173","Chandler Catanzaro","FA","K","120.0","15","8.0"
"173","Minnesota Vikings","MIN","DST","120.0","16","7.5"
"175","Josh Doctson","NYJ","WR","119.8","15","8.0"
"176","Austin Hooper","CLE","TE","119.6","16","7.5"
"177","Tyler Lockett","SEA","WR","118.3","16","7.4"
"178","Jonathan Stewart","FA","RB","117.2","15","7.8"
"179","Charles Clay","FA","TE","116.8","13","9.0"
"180","Eric Decker","FA","WR","116.3","16","7.3"
"181","Albert Wilson","MIA","WR","116.0","13","8.9"
"182","Emmanuel Sanders","NO","WR","114.5","12","9.5"
"183","Dallas Cowboys","DAL","DST","114.0","16","7.1"
"184","Will Fuller","HOU","WR","113.2","10","11.3"
"185","Washington Football Team","WAS","DST","112.0","16","7.0"
"186","Terrance Williams","FA","WR","111.3","16","7.0"
"187","Tennessee Titans","TEN","DST","110.0","16","6.9"
"188","Chris Hogan","NYJ","WR","109.6","9","12.2"
"189","Arizona Cardinals","ARI","DST","109.0","16","6.8"
"189","Denver Broncos","DEN","DST","109.0","16","6.8"
"189","Brandon McManus","DEN","K","109.0","15","7.3"
"192","Samaje Perine","CIN","RB","108.5","13","8.4"
"193","Blair Walsh","FA","K","108.0","16","6.8"
"194","LeGarrette Blount","FA","RB","107.6","16","6.7"
"195","Austin Ekeler","LAC","RB","106.9","14","7.6"
"196","George Kittle","SF","TE","106.5","15","7.1"
"197","Deonte Thompson","FA","WR","105.0","16","6.6"
"198","Wayne Gallman","NYG","RB","104.9","13","8.1"
"199","Ka'imi Fairbairn","HOU","K","104.0","15","6.9"
"199","Buffalo Bills","BUF","DST","104.0","16","6.5"
"201","Matt Breida","MIA","RB","103.5","16","6.5"
"202","Marlon Mack","IND","RB","103.3","14","7.4"
"203","Jaron Brown","SF","WR","102.7","16","6.4"
"204","Carson Palmer","FA","QB","102.4","7","14.6"
"205","Jeremy Maclin","FA","WR","102.0","12","8.5"
"206","Austin Seferian-Jenkins","FA","TE","101.7","13","7.8"
"207","O.J. Howard","TB","TE","101.2","13","7.8"
"208","Cincinnati Bengals","CIN","DST","100.0","16","6.3"
"209","Allen Hurns","MIA","WR","99.4","10","9.9"
"210","Atlanta Falcons","ATL","DST","99.0","16","6.2"
"211","Jesse James","DET","TE","98.2","14","7.0"
"212","Julius Thomas","FA","TE","97.8","14","7.0"
"213","J.D. McKissic","WAS","RB","97.3","12","8.1"
"214","Tampa Bay Buccaneers","TB","DST","97.0","16","6.1"
"214","Cody Parkey","FA","K","97.0","15","6.5"
"216","Trent Taylor","SF","WR","96.0","15","6.4"
"217","David Njoku","CLE","TE","94.7","16","5.9"
"218","Kenny Golladay","DET","WR","94.6","11","8.6"
"219","Green Bay Packers","GB","DST","94.0","16","5.9"
"220","J.J. Nelson","SF","WR","93.1","16","5.8"
"221","Chris Godwin","TB","WR","92.5","15","6.2"
"222","Corey Clement","PHI","RB","92.4","15","6.2"
"223","Rod Smith","LV","RB","92.4","13","7.1"
"224","Indianapolis Colts","IND","DST","92.0","16","5.8"
"225","Ty Montgomery","NO","RB","91.6","8","11.5"
"226","Cole Beasley","BUF","WR","91.4","15","6.1"
"227","Devontae Booker","LV","RB","91.4","13","7.0"
"228","Randy Bullock","CIN","K","91.0","14","6.5"
"229","Torrey Smith","FA","WR","90.7","16","5.7"
"230","Seth Roberts","CAR","WR","90.5","15","6.0"
"231","Pierre Garcon","FA","WR","90.0","8","11.3"
"232","Miami Dolphins","MIA","DST","90.0","16","5.6"
"232","Giorgio Tavecchio","FA","K","90.0","15","6.0"
"234","Roger Lewis","FA","WR","89.6","15","6.0"
"235","C.J. Beathard","SF","QB","88.8","6","14.8"
"236","New York Giants","NYG","DST","88.0","16","5.5"
"237","Jimmy Garoppolo","SF","QB","87.9","6","14.7"
"238","Marcedes Lewis","GB","TE","87.8","16","5.5"
"239","T.J. Yeldon","BUF","RB","87.7","10","8.8"
"240","Andre Ellington","FA","RB","87.4","11","8.0"
"241","Josh Lambo","JAC","K","87.0","10","8.7"
"242","Jalen Richard","LV","RB","86.1","16","5.4"
"243","Cordarrelle Patterson","CHI","WR","86.0","16","5.4"
"243","Patrick Murray","FA","K","86.0","12","7.2"
"245","Peyton Barber","WAS","RB","85.7","13","6.6"
"246","DeAndre Washington","KC","RB","85.0","15","5.7"
"247","Chris Ivory","FA","RB","84.7","14","6.1"
"248","Aldrick Rosas","FA","K","84.0","16","5.3"
"248","Mason Crosby","GB","K","84.0","15","5.6"
"250","Shane Vereen","FA","RB","83.7","16","5.2"
"251","Bennie Fowler III","NO","WR","82.0","15","5.5"
"251","Houston Texans","HOU","DST","82.0","16","5.1"
"253","Taylor Gabriel","FA","WR","81.7","16","5.1"
"254","Dan Bailey","MIN","K","81.0","11","7.4"
"255","Aaron Jones","GB","RB","80.0","10","8.0"
"256","Trey Burton","IND","TE","79.8","14","5.7"
"257","Ed Dickson","FA","TE","79.7","14","5.7"
"258","Antonio Gates","FA","TE","79.6","16","5.0"
"259","San Francisco 49ers","SF","DST","79.0","16","4.9"
"260","Adrian Peterson","WAS","RB","78.9","10","7.9"
"261","Garrett Celek","FA","TE","78.6","13","6.1"
"262","Zane Gonzalez","ARI","K","78.0","16","4.9"
"263","TJ Jones","FA","WR","77.9","13","6.0"
"264","Jermaine Gresham","FA","TE","77.2","14","5.5"
"265","Donte Moncrief","LAR","WR","77.1","12","6.4"
"266","Seth DeValve","FA","TE","76.5","16","4.8"
"267","Elijah McGuire","KC","RB","76.2","15","5.1"
"268","Doug Martin","FA","RB","76.0","11","6.9"
"269","Bruce Ellington","FA","WR","75.7","11","6.9"
"270","Cleveland Browns","CLE","DST","75.0","16","4.7"
"271","Odell Beckham Jr.","CLE","WR","74.0","4","18.5"
"272","Brandon Coleman","FA","WR","73.8","15","4.9"
"273","Ryan Fitzpatrick","MIA","QB","73.7","6","12.3"
"274","Charles Sims","FA","RB","73.4","15","4.9"
"275","Charcandrick West","FA","RB","73.2","12","6.1"
"276","Alfred Morris","FA","RB","72.2","13","5.6"
"277","New York Jets","NYJ","DST","72.0","16","4.5"
"278","Zay Jones","LV","WR","70.6","14","5.0"
"279","John Brown","BUF","WR","69.9","10","7.0"
"280","Kyle Juszczyk","SF","RB","69.6","14","5.0"
"281","Corey Davis","TEN","WR","69.5","11","6.3"
"282","Mike Gillislee","FA","RB","68.8","9","7.6"
"283","Rashard Higgins","CLE","WR","68.6","14","4.9"
"284","Josh Bellamy","NYJ","WR","68.2","11","6.2"
"285","Brock Osweiler","FA","QB","68.1","6","11.4"
"286","Las Vegas Raiders","LV","DST","68.0","16","4.3"
"287","Kerwynn Williams","FA","RB","67.9","16","4.2"
"288","Jamaal Charles","FA","RB","67.5","13","5.2"
"289","Dede Westbrook","JAC","WR","66.9","7","9.6"
"290","Chris Moore","BAL","WR","65.9","12","5.5"
"291","Corey Coleman","NYG","WR","65.5","9","7.3"
"292","Dalvin Cook","MIN","RB","65.4","4","16.4"
"293","Dontrelle Inman","WAS","WR","65.3","10","6.5"
"294","Stephen Anderson","LAC","TE","65.2","14","4.7"
"295","Brice Butler","FA","WR","64.7","12","5.4"
"296","Nick O'Leary","FA","TE","64.2","13","4.9"
"297","Dustin Hopkins","WAS","K","64.0","8","8.0"
"298","Brian Hoyer","NE","QB","64.0","10","6.4"
"299","Coby Fleener","FA","TE","63.5","11","5.8"
"300","Ricardo Louis","MIA","WR","62.7","14","4.5"
"301","Cody Latimer","FA","WR","61.7","11","5.6"
"302","Blaine Gabbert","TB","QB","61.6","5","12.3"
"303","Tyler Higbee","LAR","TE","60.5","14","4.3"
"304","Tavarres King","FA","WR","60.3","8","7.5"
"305","Justin Hardy","FA","WR","60.1","10","6.0"
"306","Jordan Reed","SF","TE","60.1","6","10.0"
"307","Damien Williams","KC","RB","59.6","10","6.0"
"308","Rhett Ellison","FA","TE","59.5","14","4.3"
"309","Nick Rose","FA","K","59.0","10","5.9"
"310","Martellus Bennett","FA","TE","58.6","9","6.5"
"311","Danny Woodhead","FA","RB","58.6","8","7.3"
"312","Chester Rogers","MIA","WR","58.2","10","5.8"
"313","Kenny Britt","FA","WR","57.6","12","4.8"
"314","Josh Gordon","FA","WR","57.5","5","11.5"
"315","Jordan Matthews","FA","WR","57.2","10","5.7"
"316","D'Onta Foreman","FA","RB","57.0","9","6.3"
"316","Aldrick Robinson","FA","WR","57.0","14","4.1"
"316","Connor Barth","FA","K","57.0","10","5.7"
"319","Benny Cunningham","FA","RB","56.9","14","4.1"
"320","Tyler Boyd","CIN","WR","56.5","10","5.7"
"321","Zach Miller","FA","TE","55.6","8","7.0"
"322","A.J. Derby","FA","TE","55.4","11","5.0"
"323","Luke Willson","SEA","TE","54.3","13","4.2"
"324","Mike Nugent","FA","K","54.0","8","6.8"
"325","Jason Myers","SEA","K","53.0","6","8.8"
"326","Darren Fells","HOU","TE","52.7","14","3.8"
"327","Mike Davis","CAR","RB","52.1","6","8.7"
"328","Gerald Everett","LAR","TE","51.7","14","3.7"
"329","Tom Savage","FA","QB","50.7","8","6.3"
"330","Mike Tolbert","FA","RB","50.5","12","4.2"
"331","Drew Stanton","FA","QB","50.3","5","10.1"
"332","Nick Boyle","BAL","TE","50.3","15","3.4"
"333","Ricky Seals-Jones","KC","TE","50.1","8","6.3"
"334","Terrelle Pryor","FA","WR","50.0","8","6.3"
"335","Jarius Wright","FA","WR","49.8","12","4.2"
"336","Taywan Taylor","CLE","WR","49.4","16","3.1"
"337","Jacquizz Rodgers","FA","RB","46.8","16","2.9"
"338","Wendell Smallwood","PIT","RB","46.7","8","5.8"
"339","Michael Campanaro","FA","WR","46.5","13","3.6"
"340","Demetrius Harris","CHI","TE","46.4","13","3.6"
"341","Geronimo Allison","DET","WR","46.3","12","3.9"
"342","Nick Novak","FA","K","46.0","7","6.6"
"343","Jonnu Smith","TEN","TE","45.7","14","3.3"
"343","Jeremy Kerley","FA","WR","45.7","8","5.7"
"345","Russell Shepard","FA","WR","45.1","14","3.2"
"346","Malcolm Brown","LAR","RB","44.9","11","4.1"
"347","Johnny Holton","FA","WR","44.8","12","3.7"
"348","Mack Hollins","MIA","WR","44.6","12","3.7"
"349","Alfred Blue","FA","RB","44.6","9","5.0"
"350","Jakeem Grant","MIA","WR","44.5","15","3.0"
"351","Lance Kendricks","FA","TE","44.3","13","3.4"
"352","Tavon Austin","SF","WR","43.7","14","3.1"
"353","Robert Kelley","FA","RB","43.2","7","6.2"
"354","Andre Holmes","FA","WR","43.0","10","4.3"
"355","Adam Shaheen","MIA","TE","42.7","7","6.1"
"356","Demarcus Robinson","KC","WR","42.2","10","4.2"
"357","Greg Olsen","SEA","TE","42.1","7","6.0"
"358","Corey Grant","FA","RB","41.9","14","3.0"
"359","Kendrick Bourne","SF","WR","41.7","10","4.2"
"360","Matt Moore","KC","QB","41.3","4","10.3"
"360","Braxton Miller","FA","WR","41.3","10","4.1"
"362","De'Anthony Thomas","BAL","WR","40.7","14","2.9"
"362","Kapri Bibbs","FA","RB","40.7","3","13.6"
"364","Laquon Treadwell","ATL","WR","40.0","13","3.1"
"365","Chris Carson","SEA","RB","39.7","4","9.9"
"366","Virgil Green","LAC","TE","39.1","11","3.6"
"367","Dion Sims","FA","TE","39.0","12","3.3"
"368","Vance McDonald","PIT","TE","38.8","10","3.9"
"369","Travaris Cadet","FA","RB","37.5","7","5.4"
"370","Eli Rogers","FA","WR","36.9","12","3.1"
"371","Ryan Griffin","NYJ","TE","36.8","6","6.1"
"372","Levine Toilolo","NYG","TE","36.2","10","3.6"
"373","Alex Erickson","CIN","WR","35.6","16","2.2"
"374","Jeff Heuerman","FA","TE","35.2","10","3.5"
"375","James O'Shaughnessy","JAC","TE","34.9","15","2.3"
"376","Richard Rodgers","WAS","TE","34.0","9","3.8"
"376","T.J. Yates","FA","QB","34.0","4","8.5"
"378","Nick Foles","CHI","QB","33.8","7","4.8"
"378","Kevin Hogan","FA","QB","33.8","4","8.5"
"380","Damiere Byrd","NE","WR","33.7","8","4.2"
"381","Mike Glennon","JAC","QB","33.6","4","8.4"
"382","Brandon Marshall","FA","WR","33.4","5","6.7"
"383","Curtis Samuel","CAR","WR","32.9","8","4.1"
"384","D.J. Foster","ARI","RB","32.2","7","4.6"
"384","Elijhaa Penny","NYG","RB","32.2","10","3.2"
"386","Phillip Dorsett","SEA","WR","32.1","10","3.2"
"387","Thomas Rawls","FA","RB","32.1","9","3.6"
"388","Brent Celek","FA","TE","32.0","12","2.7"
"389","Tion Green","FA","RB","31.9","5","6.4"
"390","Nick Vannett","DEN","TE","30.4","10","3.0"
"391","Troy Niklas","FA","TE","30.2","11","2.8"
"392","Josh Hill","NO","TE","29.7","10","3.0"
"393","Nick Folk","NE","K","29.0","4","7.3"
"394","Tommy Bohanon","FA","RB","28.8","12","2.4"
"395","Anthony Fasano","FA","TE","28.7","9","3.2"
"396","Eddie Lacy","FA","RB","28.6","9","3.2"
"397","Chris Conley","JAC","WR","28.5","5","5.7"
"398","Kamar Aiken","FA","WR","28.3","13","2.2"
"399","Maxx Williams","ARI","TE","28.2","9","3.1"
"400","Terrance West","FA","RB","28.1","5","5.6"
"401","Josh Reynolds","LAR","WR","27.4","10","2.7"
"402","Jordan Taylor","FA","WR","27.2","10","2.7"
"403","Tommylee Lewis","CAR","WR","27.0","14","1.9"
"404","Travis Coons","FA","K","27.0","3","9.0"
"405","Sam Bradford","FA","QB","26.9","2","13.5"
"406","C.J. Fiedorowicz","FA","TE","26.7","5","5.3"
"407","Louis Murphy","FA","WR","26.1","6","4.4"
"407","Eric Tomlinson","NYG","TE","26.1","9","2.9"
"409","Cairo Santos","CHI","K","26.0","5","5.2"
"410","Robert Turbin","FA","RB","25.9","6","4.3"
"410","Daniel Brown","NYJ","TE","25.9","9","2.9"
"412","David Morgan","FA","TE","25.5","9","2.8"
"413","Bryce Petty","FA","QB","25.4","4","6.4"
"414","C.J. Uzomah","CIN","TE","25.2","11","2.3"
"415","Brandon Williams","FA","TE","25.1","9","2.8"
"416","Dwayne Allen","FA","TE","24.6","12","2.1"
"417","Niles Paul","FA","TE","22.8","11","2.1"
"418","Tre McBride","FA","WR","22.4","5","4.5"
"419","Kenjon Barner","FA","RB","22.3","13","1.7"
"420","Jaydon Mickens","FA","WR","21.7","10","2.2"
"421","Paul Perkins","FA","RB","21.6","8","2.7"
"422","CJ Ham","MIN","RB","21.1","14","1.5"
"423","Brenton Bersin","FA","WR","20.8","6","3.5"
"424","Chris Johnson","FA","RB","20.7","4","5.2"
"424","Anthony Sherman","KC","RB","20.7","7","3.0"
"426","Mike Williams","LAC","WR","20.5","9","2.3"
"427","Brandon Tate","FA","WR","20.1","13","1.6"
"428","Logan Thomas","WAS","TE","19.7","5","3.9"
"429","Jamize Olawale","DAL","RB","19.6","7","2.8"
"430","David Fales","NYJ","QB","19.4","2","9.7"
"431","Younghoe Koo","ATL","K","19.0","4","4.8"
"432","James Hanna","FA","TE","18.8","8","2.4"
"433","Josh Malone","NYJ","WR","18.5","9","2.1"
"434","Darren Sproles","FA","RB","18.4","3","6.1"
"435","Chad Hansen","HOU","WR","18.4","8","2.3"
"436","Travis Rudolph","FA","WR","18.1","6","3.0"
"437","Austin Traylor","FA","TE","18.0","5","3.6"
"437","Pharoh Cooper","CAR","WR","18.0","16","1.1"
"439","Michael Floyd","FA","WR","17.8","10","1.8"
"440","Breshad Perriman","NYJ","WR","17.7","11","1.6"
"441","Fozzy Whittaker","FA","RB","17.5","10","1.8"
"442","Kasen Williams","FA","WR","17.4","6","2.9"
"443","Jeremy Hill","FA","RB","17.2","7","2.5"
"443","Michael Hoomanawanui","FA","TE","17.2","7","2.5"
"443","Jerell Adams","BAL","TE","17.2","7","2.5"
"446","C.J. Prosise","FA","RB","17.0","4","4.3"
"447","Clive Walford","FA","TE","17.0","6","2.8"
"448","Branden Oliver","FA","RB","16.9","8","2.1"
"449","ArDarius Stewart","FA","WR","16.9","12","1.4"
"450","Stevan Ridley","FA","RB","16.8","2","8.4"
"451","Cameron Artis-Payne","FA","RB","16.7","7","2.4"
"452","Hunter Sharp","FA","WR","16.4","3","5.5"
"453","Maurice Harris","FA","WR","16.2","4","4.1"
"454","Darrius Heyward-Bey","FA","WR","15.9","9","1.8"
"455","Lee Smith","BUF","TE","15.6","8","2.0"
"456","Terron Ward","FA","RB","15.3","5","3.1"
"457","Willie Snead","BAL","WR","15.2","8","1.9"
"458","Kaelin Clay","FA","WR","15.2","13","1.2"
"459","Amara Darboh","PIT","WR","15.1","8","1.9"
"459","Derek Carrier","LV","TE","15.1","9","1.7"
"461","Paxton Lynch","PIT","QB","15.1","2","7.6"
"462","Andy Janovich","CLE","RB","14.7","12","1.2"
"463","Roosevelt Nix","IND","RB","14.6","10","1.5"
"463","Freddie Martino","FA","WR","14.6","7","2.1"
"465","Ross Travis","NYJ","TE","14.6","10","1.5"
"466","James Conner","PIT","RB","14.4","12","1.2"
"467","Mike Thomas","CIN","WR","14.3","5","2.9"
"468","Xavier Grimble","IND","TE","14.2","8","1.8"
"468","Neal Sterling","FA","TE","14.2","5","2.8"
"470","EJ Manuel","FA","QB","14.1","2","7.1"
"471","Marvin Hall","DET","WR","14.0","6","2.3"
"472","Phillip Supernaw","FA","TE","13.9","9","1.5"
"472","Leonte Carroo","FA","WR","13.9","4","3.5"
"474","Brian Quick","FA","WR","13.6","6","2.3"
"475","Chris Thompson","FA","WR","13.4","12","1.1"
"476","Trevor Davis","FA","WR","13.3","15","0.9"
"477","David Johnson","HOU","RB","13.1","1","13.1"
"478","Caleb Sturgis","FA","K","13.0","1","13.0"
"478","Sammie Coates","FA","WR","13.0","7","1.9"
"478","Luke Stocker","ATL","TE","13.0","4","3.3"
"478","Tyler Ervin","GB","RB","13.0","4","3.3"
