Rank,Player,Team,Position,Points,Games,Avg
620,Kendall Blanton,LAR,TE,0,1,0
620,Chad Williams,FA,WR,0,1,0
620,Deante Burton,DAL,WR,0,3,0
620,Alex Tanney,NYG,QB,0,1,0
620,Trayveon Williams,CIN,RB,0,11,0
620,Carson Meier,FA,TE,0,1,0
620,Mason Schreck,CIN,TE,0,3,0
620,Tony Jones,FA,WR,0,1,0
620,Chandler Cox,MIA,RB,0,13,0
620,Jonathan Stewart,FA,RB,0,1,0
620,Alex Collins,FA,RB,0,1,0
620,Kenneth Dixon,FA,RB,0,1,0
620,Lamar Miller,NE,RB,0,1,0
620,Jamaal Charles,FA,RB,0,1,0
620,Travaris Cadet,FA,RB,0,1,0
620,Trenton Cannon,CAR,RB,0,4,0
620,Justin Davis,FA,RB,0,1,0
620,Joe Williams,FA,RB,0,1,0
620,Christine Michael,FA,RB,0,1,0
620,Mike Gillislee,FA,RB,0,1,0
620,Donnie Ernsberger,FA,RB,0,1,0
620,Jordan Chunn,FA,RB,0,1,0
620,Derrick Coleman,FA,RB,0,1,0
620,Cameron Artis-Payne,FA,RB,0,1,0
620,DuJuan Harris,FA,RB,0,1,0
620,Ed Dickson,FA,TE,0,1,0
620,Neal Sterling,FA,TE,0,1,0
620,Logan Paulsen,FA,TE,0,1,0
620,Jordan Franks,CIN,TE,0,1,0
620,Matt Lengel,FA,TE,0,2,0
620,David Morgan,FA,TE,0,1,0
620,Jerell Adams,BAL,TE,0,1,0
620,David Grinnage,FA,TE,0,1,0
620,LeGarrette Blount,FA,RB,0,1,0
620,Cole Wick,NO,TE,0,1,0
620,Jerome Cunningham,FA,TE,0,3,0
620,Rob Gronkowski,TB,TE,0,1,0
620,Garrett Celek,FA,TE,0,6,0
620,Kyle Nelson,SF,TE,0,11,0
620,Lavon Coleman,FA,RB,0,1,0
620,Michael Burton,NO,RB,0,11,0
620,Chris Ivory,FA,RB,0,1,0
620,Antonio Gates,FA,TE,0,1,0
620,Brock Osweiler,FA,QB,0,1,0
620,Cooper Rush,NYG,QB,0,2,0
620,Alex Smith,WAS,QB,0,1,0
620,Taylor Heinicke,FA,QB,0,1,0
620,Joe Webb,FA,QB,0,1,0
620,Drew Anderson,FA,QB,0,1,0
620,Joshua Dobbs,JAC,QB,0,1,0
620,Brandon Weeden,FA,QB,0,1,0
620,Matt Cassel,FA,QB,0,1,0
620,Giorgio Tavecchio,FA,K,0,1,0
620,Matt McCrane,FA,K,0,1,0
620,Graham Gano,NYG,K,0,1,0
620,Kaare Vedvik,CAR,K,0,1,0
620,Caleb Sturgis,FA,K,0,1,0
620,Sebastian Janikowski,FA,K,0,1,0
620,C.J. Beathard,SF,QB,0,1,0
620,Chad Kelly,IND,QB,0,1,0
620,Detrez Newsome,FA,RB,0,1,0
620,D.J. Foster,ARI,RB,0,6,0
620,Jeremy Langford,FA,RB,0,1,0
620,Robert Turbin,FA,RB,0,2,0
620,Jamize Olawale,DAL,RB,0,16,0
620,Jeremy Hill,FA,RB,0,1,0
