"Rank","Player","Team","Position","Points","Games","Avg"
"545","Brian Quick","FA","WR","4.8","2","2.4"
"546","Nate Sudfeld","PHI","QB","4.7","2","2.4"
"547","Charone Peake","FA","WR","4.5","7","0.6"
"548","Mike Gillislee","FA","RB","4.2","4","1.1"
"549","Ricky Ortiz","FA","RB","4.1","4","1.0"
"549","Jeremy Hill","FA","RB","4.1","1","4.1"
"549","De'Lance Turner","FA","RB","4.1","2","2.1"
"552","Malik Turner","GB","WR","4.0","3","1.3"
"552","Derrick Coleman","FA","RB","4.0","11","0.4"
"554","Benny Cunningham","FA","RB","3.9","11","0.4"
"555","Ameer Abdullah","MIN","RB","3.9","9","0.4"
"556","Terrance Williams","FA","WR","3.8","2","1.9"
"557","Khadarel Hodge","CLE","WR","3.7","6","0.6"
"557","Nick Williams","FA","WR","3.7","4","0.9"
"559","David Williams","FA","RB","3.6","4","0.9"
"560","Ross Dwelley","SF","TE","3.4","4","0.9"
"561","River Cracraft","FA","WR","3.4","8","0.4"
"561","Sean Culkin","FA","TE","3.4","2","1.7"
"561","Jamaal Charles","FA","RB","3.4","2","1.7"
"564","Brandon Zylstra","CAR","WR","3.3","5","0.7"
"564","Joe Webb","FA","QB","3.3","5","0.7"
"564","Jamize Olawale","DAL","RB","3.3","11","0.3"
"564","Tyrone Swoopes","PHI","TE","3.3","1","3.3"
"568","Gehrig Dieter","KC","WR","3.2","3","1.1"
"568","Travaris Cadet","FA","RB","3.2","1","3.2"
"570","Hakeem Valles","FA","TE","3.1","2","1.6"
"571","Alan Cross","FA","TE","2.9","6","0.5"
"572","Dion Sims","FA","TE","2.9","3","1.0"
"573","Jeremy Kerley","FA","WR","2.7","1","2.7"
"574","Jeremy Langford","FA","RB","2.5","1","2.5"
"575","Tim White","FA","WR","2.4","3","0.8"
"575","Matt Flanagan","JAC","TE","2.4","3","0.8"
"577","Derek Watt","PIT","RB","2.3","8","0.3"
"578","Sammie Coates","FA","WR","2.2","4","0.6"
"578","Josh Malone","NYJ","WR","2.2","4","0.6"
"580","Victor Bolden Jr.","DET","WR","2.0","3","0.7"
"580","Justin Hardee","NO","WR","2.0","12","0.2"
"582","Cam Phillips","CAR","WR","1.9","2","1.0"
"582","Justin Davis","FA","RB","1.9","4","0.5"
"584","Darvin Kidsy","WAS","WR","1.8","2","0.9"
"584","Damiere Byrd","NE","WR","1.8","7","0.3"
"584","Keon Hatcher","FA","WR","1.8","2","0.9"
"587","Matt Cassel","FA","QB","1.7","2","0.9"
"587","Jonathan Stewart","FA","RB","1.7","3","0.6"
"589","Richard Rodgers","WAS","TE","1.7","3","0.6"
"589","Marcus Kemp","KC","WR","1.7","6","0.3"
"589","Allen Lazard","GB","WR","1.7","1","1.7"
"592","Darius Jackson","FA","RB","1.6","2","0.8"
"592","Michael Burton","NO","RB","1.6","3","0.5"
"592","Garrett Gilbert","CLE","QB","1.6","1","1.6"
"595","David Fluellen","FA","RB","1.6","4","0.4"
"596","Johnny Mundt","LAR","TE","1.5","2","0.8"
"596","Brandon Wilds","FA","RB","1.5","3","0.5"
"596","Chad Henne","KC","QB","1.5","1","1.5"
"596","Justin Watson","TB","WR","1.5","7","0.2"
"596","Khari Lee","ATL","TE","1.5","1","1.5"
"596","J'Mon Moore","CLE","WR","1.5","7","0.2"
"602","Jehu Chesson","NYJ","WR","1.3","7","0.2"
"603","Dan Vitale","NE","RB","1.2","2","0.6"
"603","Darrius Heyward-Bey","FA","WR","1.2","9","0.1"
"605","Matt Schaub","ATL","QB","1.1","2","0.6"
"606","Jonathan Williams","DET","RB","1.1","3","0.4"
"607","Joshua Dobbs","JAC","QB","0.9","5","0.2"
"607","Christine Michael","FA","RB","0.9","1","0.9"
"609","Robert Griffin","BAL","QB","0.8","2","0.4"
"609","J.D. McKissic","WAS","RB","0.8","3","0.3"
"611","Robert Kelley","FA","RB","0.8","2","0.4"
"612","Jeremy McNichols","TEN","RB","0.4","1","0.4"
"613","Robert Turbin","FA","RB","0.3","2","0.2"
"614","Mark Sanchez","FA","QB","0.3","2","0.2"
"615","AJ McCarron","HOU","QB","0.1","2","0.1"
"616","Jaydon Mickens","FA","WR","0.0","6","0.0"
"616","Kyle Sloter","FA","QB","0.0","1","0.0"
"616","Da'Mari Scott","NYG","WR","0.0","2","0.0"
"616","Sean Mannion","MIN","QB","0.0","3","0.0"
"616","Freddie Martino","FA","WR","0.0","1","0.0"
"616","Matt Slater","NE","WR","0.0","9","0.0"
"616","Johnny Holton","FA","WR","0.0","1","0.0"
"616","Temarrick Hemingway","CAR","TE","0.0","2","0.0"
"616","Jerome Cunningham","FA","TE","0.0","1","0.0"
"616","","","","0.0","16","0.0"
"616","Ben Koyack","FA","TE","0.0","1","0.0"
"616","Boston Scott","PHI","RB","0.0","1","0.0"
"616","Trey Edmunds","PIT","RB","0.0","1","0.0"
"616","Garrett Dickerson","NYG","TE","0.0","1","0.0"
"616","Quadree Henderson","FA","WR","0.0","5","0.0"
"616","Mason Schreck","CIN","TE","0.0","1","0.0"
"616","Donnie Ernsberger","FA","RB","0.0","1","0.0"
"616","Lavon Coleman","FA","RB","0.0","1","0.0"
"616","Pharoh Cooper","CAR","WR","0.0","7","0.0"
"616","Matthew Dayes","FA","RB","0.0","3","0.0"
"616","Darrell Daniels","ARI","TE","0.0","6","0.0"
"616","Tanner McEvoy","FA","WR","0.0","1","0.0"
"616","Buddy Howell","HOU","RB","0.0","8","0.0"
